Against,Team,IDGAME,Phase,Player,MIN,PTS,F2M,F2A,F2GP,F3M,F3A,F3GP,FTM,FTA,FTP,OR,DR,TR,AS,ST,TO,BLK,BLKR,PF,RF,PIR,HA,results,Team_PTS,Team_F2A,Team_F3A,Team_FTA,Team_F2M,Team_F3M,Team_FTM,Team_AS,Team_OR,Team_DR,Team_TR,Team_ST,Team_TO,Team_BLK,Team_PF,Team_PIR,Team_opp_PTS,Team_opp_F2A,Team_opp_F3A,Team_opp_FTA,Team_opp_F2M,Team_opp_F3M,Team_opp_FTM,Team_opp_AS,Team_opp_OR,Team_opp_DR,Team_opp_TR,Team_opp_ST,Team_opp_TO,Team_opp_BLK,Team_opp_PF,Team_opp_PIR,Points_per_shoot,Possesions,Offensive_rating,PIE,Assists_Ratio,As_To_ratio,EFG,FT_ratio,Game_score,True_shooting,Turnover_ratio,Usage,OR_percent,Season
MAC,EFE,1_1,Regular Season,Shane  Larkin,33.0,14,5,8,62.5,0,4,0.0,4,6,66.7,1,3,4,5,0,2,0,1,3,4,12,H,W,85,37,29,15,23,9,12,15,13,23,36,6,14,1,21,88,78,38,27,17,21,7,15,20,11,18,29,8,12,3,20,87,0.78,15.0,93.3,0.07,33.3,2.5,41.7,0.5,8.7,47.8,13.33,4.7,4.2,2025-2026
MAC,EFE,1_1,Regular Season,Sehmus  Hazer,8.0,0,0,1,0.0,0,2,0.0,0,0,,2,2,4,0,1,4,0,1,1,0,-4,H,W,85,37,29,15,23,9,12,15,13,23,36,6,14,1,21,88,78,38,27,17,21,7,15,20,11,18,29,8,12,3,20,87,0.0,4.8,0.0,-0.03,0.0,0.0,0.0,0.0,-3.5,0.0,83.33,8.1,8.3,2025-2026
MAC,EFE,1_1,Regular Season,Jordan  Loyd,24.0,16,2,2,100.0,4,8,50.0,0,0,,1,1,2,1,0,2,0,0,1,3,15,H,W,85,37,29,15,23,9,12,15,13,23,36,6,14,1,21,88,78,38,27,17,21,7,15,20,11,18,29,8,12,3,20,87,1.6,10.6,150.9,0.09,9.4,0.5,80.0,0.0,10.7,80.0,18.87,4.6,4.2,2025-2026
MAC,EFE,1_1,Regular Season,Nick  Weiler-Babb,23.0,12,1,1,100.0,3,4,75.0,1,1,100.0,0,4,4,3,2,1,0,0,3,3,19,H,W,85,37,29,15,23,9,12,15,13,23,36,6,14,1,21,88,78,38,27,17,21,7,15,20,11,18,29,8,12,3,20,87,2.0,6.2,193.5,0.13,48.4,3.0,110.0,0.2,13.2,110.3,16.13,2.6,0.0,2025-2026
MAC,EFE,1_1,Regular Season,Georgios  Papagiannis,13.0,2,1,2,50.0,0,1,0.0,0,0,,4,3,7,1,0,0,0,0,2,3,9,H,W,85,37,29,15,23,9,12,15,13,23,36,6,14,1,21,88,78,38,27,17,21,7,15,20,11,18,29,8,12,3,20,87,0.67,-1.0,-200.0,0.03,-100.0,inf,33.3,0.0,3.9,33.3,0.0,2.1,16.7,2025-2026
MAC,EFE,1_1,Regular Season,Isaia  Cordinier,31.0,7,3,7,42.9,0,4,0.0,1,1,100.0,2,1,3,2,0,0,0,1,2,2,3,H,W,85,37,29,15,23,9,12,15,13,23,36,6,14,1,21,88,78,38,27,17,21,7,15,20,11,18,29,8,12,3,20,87,0.58,9.1,76.9,0.01,22.0,inf,27.3,0.09,2.8,30.6,0.0,3.4,8.3,2025-2026
MAC,EFE,1_1,Regular Season,Rolands  Smits,16.0,16,5,7,71.4,2,3,66.7,0,0,,1,2,3,1,1,0,0,0,2,1,17,H,W,85,37,29,15,23,9,12,15,13,23,36,6,14,1,21,88,78,38,27,17,21,7,15,20,11,18,29,8,12,3,20,87,1.6,8.6,186.0,0.12,11.6,inf,80.0,0.0,14.0,80.0,0.0,5.8,4.2,2025-2026
MAC,EFE,1_1,Regular Season,Cole  Swider,2.0,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,1,0,-1,H,W,85,37,29,15,23,9,12,15,13,23,36,6,14,1,21,88,78,38,27,17,21,7,15,20,11,18,29,8,12,3,20,87,,0.0,,-0.01,,,,,-0.4,,,0.0,0.0,2025-2026
MAC,EFE,1_1,Regular Season,Ercan  Osmani,32.0,12,4,7,57.1,0,3,0.0,4,5,80.0,2,2,4,2,2,3,0,0,2,3,11,H,W,85,37,29,15,23,9,12,15,13,23,36,6,14,1,21,88,78,38,27,17,21,7,15,20,11,18,29,8,12,3,20,87,0.8,12.7,94.5,0.06,15.7,0.7,40.0,0.5,7.8,49.2,23.62,4.4,8.3,2025-2026
MAC,EFE,1_1,Regular Season,Erkan  Yilmaz,1.0,0,0,0,,0,0,,0,0,,0,0,0,0,0,1,0,0,1,0,-2,H,W,85,37,29,15,23,9,12,15,13,23,36,6,14,1,21,88,78,38,27,17,21,7,15,20,11,18,29,8,12,3,20,87,,1.0,0.0,-0.02,0.0,0.0,,,-1.4,,100.0,9.2,0.0,2025-2026
